epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,883.88,0.74837,0.66584,0.82181,0.69288,0.69227,0.79125,0.60185,0.91882,1.3339,0.88746,0.00458416,0.00458416,0.00458416
55,900.164,0.88598,0.77693,0.94806,0.77431,0.64526,0.73667,0.5392,0.98751,1.37709,0.89466,0.0044296,0.0044296,0.0044296
56,916.413,0.90813,0.88618,0.9278,0.74281,0.65987,0.78974,0.60897,1.02332,1.36987,0.89134,0.00427565,0.00427565,0.00427565
57,932.679,0.75896,0.67277,0.84182,0.75851,0.66368,0.73684,0.58657,0.88071,1.31999,0.85283,0.00412246,0.00412246,0.00412246
58,948.923,0.78217,0.67221,0.85947,0.7414,0.7049,0.73266,0.5724,0.86664,1.32762,0.84641,0.00397019,0.00397019,0.00397019
59,965.174,0.85327,0.77459,0.93601,0.72014,0.70408,0.74005,0.55519,0.96557,1.3719,0.86478,0.00381899,0.00381899,0.00381899
60,981.444,0.80481,0.68155,0.92151,0.74486,0.67739,0.73522,0.55296,0.88893,1.28601,0.88317,0.00366899,0.00366899,0.00366899
61,997.705,0.80679,0.68867,0.91414,0.73867,0.6645,0.6968,0.50468,0.92619,1.28651,0.88558,0.00352037,0.00352037,0.00352037
62,1013.95,0.82837,0.67915,0.94392,0.76497,0.68519,0.72752,0.54903,0.94655,1.35648,0.8819,0.00337325,0.00337325,0.00337325
63,1030.19,0.74853,0.61341,0.83259,0.68081,0.68179,0.71558,0.54295,0.93476,1.39571,0.87052,0.00322778,0.00322778,0.00322778
64,1046.42,0.72257,0.64008,0.83848,0.72016,0.66328,0.72949,0.56374,0.86703,1.3951,0.85165,0.00308412,0.00308412,0.00308412
65,1062.67,0.78071,0.65349,0.9081,0.72241,0.65561,0.71008,0.54958,0.86787,1.37369,0.8427,0.00294239,0.00294239,0.00294239
66,1078.95,0.76494,0.60326,0.8969,0.75055,0.6386,0.71212,0.54764,0.84008,1.39052,0.8401,0.00280275,0.00280275,0.00280275
67,1095.21,0.81221,0.63467,0.91961,0.74807,0.64123,0.67151,0.50098,0.89542,1.37804,0.86322,0.00266532,0.00266532,0.00266532
68,1111.47,0.79794,0.59128,0.89416,0.78022,0.62775,0.67038,0.50624,0.90958,1.43556,0.86815,0.00253024,0.00253024,0.00253024
69,1127.73,0.78022,0.57225,0.88519,0.7591,0.62237,0.71623,0.55887,0.83859,1.39506,0.85574,0.00239766,0.00239766,0.00239766
70,1143.96,0.75686,0.58024,0.84623,0.7387,0.67893,0.71015,0.5407,0.90448,1.40768,0.86646,0.00226769,0.00226769,0.00226769
71,1160.21,0.76176,0.60152,0.89829,0.75318,0.69269,0.698,0.51912,0.90971,1.35276,0.86448,0.00214046,0.00214046,0.00214046
72,1176.47,0.75971,0.55971,0.89349,0.76245,0.70891,0.70285,0.52619,0.96265,1.34592,0.87009,0.00201611,0.00201611,0.00201611
73,1192.85,0.75469,0.6242,0.88936,0.75666,0.71311,0.71116,0.53016,0.97829,1.29194,0.87937,0.00189475,0.00189475,0.00189475
74,1209.15,0.76771,0.61215,0.88885,0.75622,0.71141,0.72231,0.55228,0.95282,1.29117,0.87466,0.00177651,0.00177651,0.00177651
75,1225.43,0.78003,0.56439,0.9045,0.78132,0.7128,0.72432,0.5481,0.99686,1.28342,0.88082,0.00166149,0.00166149,0.00166149
76,1241.67,0.75022,0.55372,0.82311,0.75935,0.72136,0.7345,0.57703,0.86515,1.20289,0.86032,0.00154982,0.00154982,0.00154982
77,1257.92,0.70939,0.53508,0.87963,0.77347,0.70787,0.72998,0.57186,0.835,1.23759,0.85571,0.00144161,0.00144161,0.00144161
78,1274.17,0.83989,0.75229,0.9616,0.76585,0.70697,0.72535,0.55525,0.87072,1.25891,0.86177,0.00133695,0.00133695,0.00133695
79,1290.43,0.77323,0.55115,0.87574,0.76734,0.71115,0.72887,0.55582,0.89713,1.2911,0.86799,0.00123596,0.00123596,0.00123596
80,1306.71,0.86384,0.64543,0.92837,0.75568,0.71012,0.74682,0.56766,0.90481,1.26173,0.86604,0.00113873,0.00113873,0.00113873
81,1322.94,0.70918,0.59313,0.8029,0.75781,0.70432,0.75408,0.57904,0.89102,1.19887,0.86151,0.00104537,0.00104537,0.00104537
